taxon,intercept,timeT2,timeT3,Atrazine-Mesotrione,Dicamba,Handweeded,Glyphosate,Total Weedy Veg,Rsquared,tax_table_from_regression_results$Taxonomy
centroid.otu684,-2.058187344,-0.201803864,0.029733214,1.062205999,NA,-4.215767361,NA,NA,0.334766118,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu1050,-0.74560029,-0.861162071,-0.068812003,NA,NA,NA,-4.239482087,-0.451424983,0.331152974,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu1049,-3.6965445,1.582109259,0.627321947,NA,-4.218366761,NA,-4.108755945,0.176645612,0.320323601,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu1245,-0.450814779,-2.676817537,-0.475295762,-0.821193979,-4.443631885,-4.430636383,-4.548788457,-0.195605675,0.298901109,d:Fungi;p:Chytridiomycota;NA;NA;NA;NA;NA
centroid.otu136,1.507774319,-0.906872352,-0.535635327,-5.021878704,-0.952465025,-4.63546107,-0.341595166,-0.477038755,0.298533373,d:Fungi;p:Mortierellomycota;c:Mortierellomycetes;o:Mortierellales;f:Mortierellaceae;g:Mortierella;NA
centroid.otu517,-0.494739859,-1.241020141,NA,0.220486795,-4.795038934,-4.855082248,NA,-0.359734897,0.29279917,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu493,-3.122731381,0.739773497,0.938998162,0.008671434,-3.640542624,0.458236605,-0.169432818,0.018274941,0.292298536,d:Fungi;p:Ascomycota;c:Sordariomycetes;o:Hypocreales;NA;NA;NA
centroid.otu1079,-1.994176966,-0.191817528,-3.222494437,0.065151026,-3.39369618,-3.259877253,NA,-0.056949766,0.252548337,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu705,-1.820727465,-0.657729044,-0.207726661,-4.737453235,NA,NA,-4.732405853,NA,0.245906995,d:Fungi;p:Basidiomycota;c:Agaricomycetes;o:Agaricales;f:Psathyrellaceae;g:Psathyrella;s:Psathyrella_kellermanii_SH1513518.08FU
centroid.otu1176,-2.421819234,-0.049105909,NA,-4.710883313,-4.741104005,NA,-4.713234588,0.029448448,0.201865639,d:Fungi;p:Ascomycota;NA;NA;NA;NA;NA
centroid.otu400,-2.537653936,0.172406863,0.695306056,-0.207737532,0.003391855,-0.221274536,0.075048266,0.095589178,0.190713734,d:Fungi;p:Ascomycota;c:Sordariomycetes;NA;NA;NA;NA
centroid.otu1291,-0.826210982,-3.583985285,-3.426110751,-3.326155168,-3.198105752,NA,-3.354209991,-0.349383049,0.173716324,d:Fungi;p:Ascomycota;NA;NA;NA;NA;NA
centroid.otu807,-2.079441502,-3.327526012,0.453586607,-4.082052328,NA,-4.039363846,NA,NA,0.167703781,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu1154,-1.754806684,-2.603309655,-0.273647434,-4.404181533,NA,-4.383455621,-4.361347935,NA,0.156565702,d:Fungi;p:Mortierellomycota;c:Mortierellomycetes;o:Mortierellales;NA;NA;NA
centroid.otu276,-0.486703387,-3.477749381,-0.263613986,-0.503679094,-0.054586004,0.005098487,-0.549272928,-0.315422771,0.155419616,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu470,-4.0983658,-0.245298459,-0.046666496,2.821549061,3.725157961,3.691093695,-0.964562648,-0.346140056,0.141042008,d:Fungi;p:Mortierellomycota;c:Mortierellomycetes;o:Mortierellales;f:Mortierellaceae;g:Mortierella;NA
centroid.otu523,-3.716537084,-0.504267139,0.197018829,3.027689762,3.271745805,2.725980396,2.150433476,-0.360970652,0.138415146,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu758,-4.166503061,0.091922421,-0.26862782,-3.496494781,-3.956486366,0.070242908,0.277993217,0.433022513,0.123588021,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu253,-1.129553978,0.032054975,0.08633321,-0.745809596,-0.6467017,-0.330582262,-0.716477605,-0.108182129,0.122753303,d:Fungi;p:Ascomycota;c:Pezizomycetes;o:Pezizales;f:Pyronemataceae;NA;NA
centroid.otu367,-2.645184738,-0.110597314,0.152596014,-2.992592046,0.254459551,0.857105088,0.232351164,0.071092768,0.122275804,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu99,-0.977632184,-0.049018831,-0.120564286,-0.084587652,0.071070187,-0.061439126,-0.286191915,-0.099311918,0.119913564,d:Fungi;p:Mortierellomycota;c:Mortierellomycetes;o:Mortierellales;f:Mortierellaceae;g:Mortierella;NA
centroid.otu518,-1.442178318,0.98384151,1.645780797,-4.693605951,-4.318757132,-1.747118468,-1.100855379,-0.260426948,0.117102735,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu389,-4.738105014,-0.62504712,0.112493168,3.775356083,3.105272472,3.285876343,2.828250885,-0.120119239,0.115922918,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu397,-1.417014187,-0.852056389,-0.451524307,0.004073925,0.527490515,0.077172014,0.380259825,-0.213050364,0.101073076,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu235,0.110659881,-0.691971951,-0.047757905,-1.080618987,-1.210054564,-1.727582704,-1.563587932,-0.179544931,0.096531746,d:Fungi;p:Ascomycota;NA;NA;NA;NA;NA
centroid.otu8,-1.066533601,0.150147214,-0.018485653,0.244623803,0.137970562,0.15989334,0.434473815,0.147266415,0.090166471,d:Fungi;p:Ascomycota;c:Sordariomycetes;o:Sordariales;f:Chaetomiaceae;g:Humicola;s:Humicola_grisea_SH2475985.08FU
centroid.otu114,-0.411760804,-0.499556358,0.10131417,-0.339840239,-0.798496344,-0.853319385,-0.322185678,-0.177347703,0.086539115,d:Fungi;p:Ascomycota;c:Pezizomycetes;o:Pezizales;f:Pezizaceae;g:Iodophanus;NA
centroid.otu179,-0.974968822,-0.102865737,-0.220463945,-0.034127947,-0.102229091,-0.223128377,-0.891388047,-0.108872852,0.084649851,d:Fungi;p:Basidiomycota;c:Agaricomycetes;o:Agaricales;f:Strophariaceae;g:Stropharia;NA
centroid.otu219,-2.26521918,0.269227342,0.219842749,0.721316585,0.427441678,0.638479501,0.242321179,0.006234321,0.081876078,d:Fungi;p:Ascomycota;c:Eurotiomycetes;o:Chaetothyriales;f:Herpotrichiellaceae;g:Exophiala;NA
centroid.otu305,-1.697012388,-0.029623041,0.07855245,-0.023586045,-0.301561953,-0.4148873,-0.257260507,-0.033472462,0.079981305,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu88,-2.985051806,0.040756884,0.896315673,0.8216524,1.004585802,0.129598591,0.90360784,0.066900445,0.077568232,d:Fungi;p:Ascomycota;c:Sordariomycetes;o:Microascales;f:Microascaceae;g:Cephalotrichum;NA
centroid.otu575,-3.072957275,-0.094338439,0.769873283,0.451662208,0.124524844,-3.308857217,-3.157552547,0.191342296,0.076296664,d:Fungi;p:Ascomycota;c:Sordariomycetes;o:Hypocreales;f:Cordycipitaceae;g:Beauveria;s:Beauveria_bassiana_SH2173961.08FU
centroid.otu331,-1.862259469,-0.107584633,-0.011847861,-0.410876983,-0.062116902,-0.440902844,-0.35700152,0.017577365,0.07091913,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu375,-1.19058947,-1.275192403,-0.59142809,0.580364858,0.553457123,0.995994643,0.332844578,-0.297531184,0.070789207,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu85,-1.675779368,0.011687525,0.134157525,0.154369622,0.181820298,0.091692529,-0.006295873,-0.064098743,0.068932686,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu298,-1.473268575,-0.035895556,-0.06379342,0.307423462,-0.433411656,-0.524884108,-0.267470292,-0.11585881,0.067946396,d:Fungi;p:Ascomycota;c:Sordariomycetes;o:Sordariales;f:Lasiosphaeriaceae;g:Schizothecium;s:Schizothecium_carpinicola_SH1615620.08FU
centroid.otu337,-1.015048995,-0.420930931,-0.389778212,-0.512702426,-3.884715432,-0.855695242,-0.612007191,-0.126287867,0.063697914,d:Fungi;p:Ascomycota;c:Sordariomycetes;NA;NA;NA;NA
centroid.otu319,-2.525867838,-0.095307408,0.216228988,0.412564478,0.425828686,0.357773934,0.279227832,0.001667403,0.058275526,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu205,-1.697324057,0.005990233,0.005987334,-0.103276819,-0.147800179,-0.436018721,-0.318501669,-0.017335976,0.057948561,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu19,-0.364772671,-0.015980226,0.000633009,0.118354616,0.054381647,0.033419658,0.041562404,-0.05162718,0.056239965,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu347,-2.807509778,0.604488469,0.469991916,0.085454397,0.833757346,0.315941644,0.038493641,0.045591434,0.05080582,d:Fungi;p:Mortierellomycota;c:Mortierellomycetes;o:Mortierellales;f:Mortierellaceae;g:Mortierella;NA
centroid.otu186,-1.150613182,-0.08434563,-0.341763826,-0.265532981,-0.201808806,0.333151394,-0.479087425,-0.106121795,0.044549429,d:Fungi;p:Ascomycota;c:Pezizomycetes;o:Pezizales;f:Pezizaceae;NA;NA
centroid.otu144,-2.00123155,1.317383977,-0.12411378,0.193175205,-0.691873585,-0.238043574,0.393875149,0.289379528,0.043192467,d:Fungi;p:Basidiomycota;c:Microbotryomycetes;NA;NA;NA;NA
centroid.otu21,-0.602146488,0.058968467,0.110261618,-0.140478128,-0.116972644,-0.188085779,-0.342062947,-0.014325172,0.04227504,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu260,-2.297539255,0.165405504,-0.056766897,0.34104083,-0.135382489,0.070429753,0.001476338,0.064367626,0.034962693,d:Fungi;p:Ascomycota;c:Eurotiomycetes;o:Eurotiales;f:Aspergillaceae;g:Penicillium;NA
centroid.otu39,-1.290550184,0.027507292,-0.20376247,-0.143653361,0.068742993,0.289165583,0.009199459,0.02287877,0.034570562,d:Fungi;p:Chytridiomycota;c:Rhizophlyctidomycetes;o:Rhizophlyctidales;f:Rhizophlyctidaceae;g:Rhizophlyctis;s:Rhizophlyctis_rosea_SH1514618.08FU
centroid.otu211,-2.520403768,0.210837118,0.275376572,0.417481885,0.309842056,-0.044990827,0.40655527,0.061125531,0.033694255,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu1048,-7.708507947,-0.716639547,0.593603355,0.42429815,4.540714319,0.314169445,0.445746677,0.158966712,0.032859156,d:Fungi;p:Basidiomycota;c:Agaricomycetes;o:Agaricales;f:Psathyrellaceae;g:Psathyrella;NA
centroid.otu10,-0.570117286,0.052239658,0.161920526,0.067156204,0.116747598,0.152919226,0.115326454,0.027684824,0.031227237,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu222,-1.224442034,-0.216541647,-0.220215645,-0.471603425,-0.154496181,-0.434762894,-0.273100652,-0.073708229,0.031188683,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu212,-1.920629631,0.134168573,0.163119575,-0.162970378,-0.103732461,-0.274732327,-0.183743103,-0.00892585,0.029745335,d:Fungi;p:Ascomycota;c:Sordariomycetes;o:Hypocreales;f:Clavicipitaceae;g:Metarhizium;s:Metarhizium_marquandii_SH1561418.08FU
centroid.otu31,-0.483659982,-0.11178796,-0.131317962,-0.253350165,-0.164965123,-0.148275188,-0.406475088,-0.106708036,0.02914555,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu105,-2.013659904,0.202617397,-0.032581473,0.048476005,0.178410261,0.005923694,0.213017983,0.06983691,0.026573026,d:Fungi;p:Ascomycota;c:Sordariomycetes;o:Hypocreales;f:Stachybotryaceae;NA;NA
centroid.otu221,-0.827101182,-0.821556848,-0.189052081,-0.782857304,-0.272742259,-0.059888334,0.011611321,-0.213579548,0.025559533,d:Fungi;p:Ascomycota;c:Pezizomycetes;o:Pezizales;f:Pezizaceae;NA;NA
centroid.otu227,-1.951000635,-0.134097115,0.084975332,-0.116819569,-0.054061869,-0.03051792,-0.117819429,-0.008576196,0.024099649,d:Fungi;p:Ascomycota;c:Leotiomycetes;o:Helotiales;NA;NA;NA
centroid.otu370,-1.52058816,0.153915966,0.342483713,-0.225863135,-0.139104251,-0.334379309,-0.135511155,-0.055897961,0.023216029,d:Fungi;p:Ascomycota;c:Eurotiomycetes;o:Onygenales;NA;NA;NA
centroid.otu122,-1.939043543,0.045851138,0.041344093,-0.0346332,0.069293725,-0.079054101,-0.106509771,-4.23E-05,0.017445926,d:Fungi;p:Ascomycota;c:Sordariomycetes;o:Sordariales;f:Chaetomiaceae;g:Chaetomium;s:Chaetomium_globosum_SH1615856.08FU
centroid.otu236,-1.491337015,-0.010990797,-0.503756185,-0.255178783,0.385393015,-3.195646543,0.495118139,-0.03230545,0.017346287,d:Fungi;p:Chytridiomycota;c:Spizellomycetes;o:Spizellomycetales;f:Spizellomycetaceae;g:Spizellomyces;s:Spizellomyces_dolichospermus_SH1648420.08FU
centroid.otu63,-1.567157126,-0.079452463,-0.103666012,0.143422912,0.170796216,0.087165061,0.12845932,-0.02354096,0.014630944,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu67,-0.24904181,-0.084277934,-0.151259681,-0.177104108,-0.295532763,-0.465428493,-0.199963218,-0.073371328,0.014505755,d:Fungi;p:Basidiomycota;c:Agaricomycetes;o:Cantharellales;f:Cantharellales_fam_Incertae_sedis;g:Minimedusa;NA
centroid.otu835,-2.150924627,1.628144678,2.862912125,-1.479305882,-4.099414926,-2.141525512,-4.636713054,-0.478010424,0.012135091,d:Fungi;p:Ascomycota;c:Pezizomycetes;o:Pezizales;f:Sarcosomataceae;NA;NA
centroid.otu291,-6.326541643,-0.664168713,0.37298545,1.413020093,2.114629823,1.683686915,-0.510189648,0.705514038,0.009993568,d:Fungi;p:Chytridiomycota;c:Chytridiomycetes;o:Chytridiales;f:Chytridiaceae;NA;NA
centroid.otu306,0.025072,-2.744636902,1.223835242,-3.86644182,-1.271570757,-1.791158541,0.125172425,-0.390027759,0.009024375,d:Fungi;p:Chytridiomycota;c:Chytridiomycetes;o:Chytridiales;f:Chytridiaceae;NA;NA
centroid.otu1030,-3.327336309,0.361176308,0.114404125,-3.701137381,-3.868292943,0.493411511,0.16684429,0.171450961,0.007986414,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu475,-4.583825583,-2.323685887,-0.614427631,-1.559432714,-2.207496799,0.020834444,1.040147584,0.589979391,0.000713526,d:Fungi;NA;NA;NA;NA;NA;NA
centroid.otu740,-0.921033283,-2.887936117,NA,-5.174729601,NA,-5.145617352,-5.114564276,NA,-0.233896936,d:Fungi;NA;NA;NA;NA;NA;NA