"","taxon","intercept","timeT2","timeT3","Aatrex","Clarity","Hand","Powermax","Rsquared","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","centroid.otu19",-0.651625015865748,0.0321890000574803,0.0285278829844005,0.265099124357077,0.149324830851708,0.13266757225923,0.183305571009147,0.0326206268225003,"d:Fungi",NA,NA,NA,NA,NA,NA
"2","centroid.otu221",-1.82331877277306,-0.0703359817025752,-0.124489863251822,-0.0397290887626939,0.25057150097311,0.130674945563527,0.199754440182579,0.00459301271298818,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pezizaceae",NA,NA
"3","centroid.otu253",-1.71971193853196,0.186437924310867,0.109035337427832,-0.364829517288748,-0.473758351358395,-0.244863217318643,-0.426881283051631,0.0744903958945078,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pyronemataceae",NA,NA
"4","centroid.otu114",-1.09362085006574,-0.257772376754551,0.207065296519967,-0.122847550611293,-0.579929450531949,-0.766063788650218,-0.19426076787564,0.0505062168941361,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pezizaceae","g:Iodophanus",NA
"5","centroid.otu205",-1.78361460117306,0.00218387130830434,0.000274519553911736,-0.0282884346294326,-0.125560811050823,-0.395889393837214,-0.269417044285644,0.0554124561928987,"d:Fungi",NA,NA,NA,NA,NA,NA
"6","centroid.otu219",-2.23246777638881,0.25818979206367,0.214569898277467,0.705449437985701,0.419183621619659,0.62949711153143,0.230482802476135,0.0813059450944427,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Chaetothyriales","f:Herpotrichiellaceae","g:Exophiala",NA
"7","centroid.otu227",-2.00812663566582,-0.12151159708507,0.0939732608378799,-0.0827887256298043,-0.0312083050724614,-0.00753651308982648,-0.0865230154343742,0.023691028721998,"d:Fungi","p:Ascomycota","c:Leotiomycetes","o:Helotiales",NA,NA,NA
"8","centroid.otu236",-1.62819914720105,-0.00757112138418829,-0.487880590606365,-0.18764505088501,0.392049086416049,-3.17516310163354,0.584167264962992,0.0168497066974541,"d:Fungi","p:Chytridiomycota","c:Spizellomycetes","o:Spizellomycetales","f:Spizellomycetaceae","g:Spizellomyces","s:Spizellomyces_dolichospermus_SH1648420.08FU"
"9","centroid.otu291",-1.38794337635823,-0.664168713166148,-0.332528587795607,-0.703522021638572,-0.0019122909270298,-0.432855199330447,-3.57383913425528,0.00993023191625164,"d:Fungi","p:Chytridiomycota","c:Chytridiomycetes","o:Chytridiales","f:Chytridiaceae",NA,NA
"10","centroid.otu306",-2.53378893913426,-2.1556774105926,1.52367264936216,-2.47587225660112,-0.177409800898808,-0.693296897556867,1.13053365338994,0.0068192149761237,"d:Fungi","p:Chytridiomycota","c:Chytridiomycetes","o:Chytridiales","f:Chytridiaceae",NA,NA
"11","centroid.otu370",-1.7008598091824,0.130262189084021,0.275420230122986,-0.100231671108661,-0.046819502485196,-0.163425620953037,-0.0329420291971975,0.0165532884391481,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Onygenales",NA,NA,NA
"12","centroid.otu475",-0.637650006088062,-3.29528866616158,-1.02072686054502,-3.74701269650706,-3.82010988280646,-0.975444177049985,-1.13608981911083,0.000708982719340168,"d:Fungi",NA,NA,NA,NA,NA,NA
"13","centroid.otu67",-0.676151921515958,0.0121806495093297,-0.067531336636535,0.035478827771901,-0.154079546938542,-0.268603348890313,-0.0319277098984245,0.00900092523268037,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Cantharellales","f:Cantharellales_fam_Incertae_sedis","g:Minimedusa",NA
"14","centroid.otu85",-2.04621062246533,0.128192290891706,0.201420399635286,0.330849520234064,0.298110451376496,0.204000818742292,0.169848417824557,0.0504490469928895,"d:Fungi",NA,NA,NA,NA,NA,NA
"15","centroid.otu88",-2.39406551218354,-0.0524544508842335,0.747966762517658,0.473994377660869,0.72986624779524,-0.0671871408408218,0.513629185586142,0.0750833041539781,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Microascales","f:Microascaceae","g:Cephalotrichum",NA
"16","centroid.otu99",-1.55873091062482,0.0434615861481572,-0.0152297570011667,0.235450919508859,0.276575516766623,0.10818916443139,0.0311616251690931,0.0480355962059583,"d:Fungi","p:Mortierellomycota","c:Mortierellomycetes","o:Mortierellales","f:Mortierellaceae","g:Mortierella",NA
"17","centroid.otu10",-0.411384499603644,0.0139054525931301,0.149072614674665,-0.0139897354593557,0.0636911685312474,0.0755830183942705,0.0391489679231707,0.0235910545985848,"d:Fungi",NA,NA,NA,NA,NA,NA
"18","centroid.otu1030",-2.19672720678488,0.019623452992152,0.012500787323977,-4.31279009335755,-4.31193956076863,-0.124193775536713,-0.277960969482585,0.00793574732634317,"d:Fungi",NA,NA,NA,NA,NA,NA
"19","centroid.otu1048",-6.70629266609246,-0.997826056174228,0.275669930717892,-0.0245099296842186,4.33333259979296,0.0152868191301172,0.00776435948996921,0.0326533172624488,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Psathyrellaceae","g:Psathyrella",NA
"20","centroid.otu1049",-7.21165605046048,1.33903014241225,0.361649279476309,4.11241364229077,0.0208107202252454,4.5772757658143,-0.018285358438785,0.0808788932823936,"d:Fungi",NA,NA,NA,NA,NA,NA
"21","centroid.otu105",-1.56687489432775,0.068435186203319,-0.0821938891434567,-0.169883376992318,0.0265457805691395,-0.182605086519583,0.0236374678030518,0.0154916828813989,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","f:Stachybotryaceae",NA,NA
"22","centroid.otu1050",-6.35859587174058,0.0798292718394428,-0.0680626157887271,4.31010587804273,4.74420645023796,4.26986968841894,-0.00012598326855028,0.00624246230438974,"d:Fungi",NA,NA,NA,NA,NA,NA
"23","centroid.otu1079",-5.81775894414782,-0.106374477312477,-2.4378634965192,3.68956840863412,-0.0311311474432146,0.0538595606914612,3.73830824586058,0.0433802191203788,"d:Fungi",NA,NA,NA,NA,NA,NA
"24","centroid.otu1154",-1.75480668403308,-2.57926420415606,-0.273647434442217,-4.41809094455537,NA,-4.34604044202045,-4.37575827158918,0.155616099787091,"d:Fungi","p:Mortierellomycota","c:Mortierellomycetes","o:Mortierellales",NA,NA,NA
"25","centroid.otu1176",-7.8863711170841,1.16705963901401,1.30447539291842,-0.0566178490038645,0.0302384464938271,4.27810680062283,-0.0265784507918889,0.0387331848539596,"d:Fungi","p:Ascomycota",NA,NA,NA,NA,NA
"26","centroid.otu122",-1.93925277184489,0.0458804252385574,0.0413556637819855,-0.0345338081050881,0.0693444495285481,-0.0789984428335138,-0.106406392255738,0.0173357575948395,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","f:Chaetomiaceae","g:Chaetomium","s:Chaetomium_globosum_SH1615856.08FU"
"27","centroid.otu1245",-1.81440943000367,-2.26948784106707,-0.0834206400062153,-0.232651900630321,-3.96849781398686,-3.88989850050272,-3.91440796384724,0.00819748907060713,"d:Fungi","p:Chytridiomycota",NA,NA,NA,NA,NA
"28","centroid.otu1291",-5.87687313386632,-2.27952813856437,-2.25226105558203,0.0950828428551484,-0.055450260562985,3.70117224887862,0.0487288013716455,-5.49995382570501e-10,"d:Fungi","p:Ascomycota",NA,NA,NA,NA,NA
"29","centroid.otu136",0.549031982209374,0.519504238568404,-2.41352530238945,-4.86953039386197,-2.82833035007802,-4.96118756707236,-1.28450922224747,0.123680157020855,"d:Fungi","p:Mortierellomycota","c:Mortierellomycetes","o:Mortierellales","f:Mortierellaceae","g:Mortierella",NA
"30","centroid.otu144",-1.36086430618498,0.459127774883406,-0.662136070017875,0.840864000667431,0.133720302176492,0.0481094802873046,1.05689145117053,0.0166782853272509,"d:Fungi","p:Basidiomycota","c:Microbotryomycetes",NA,NA,NA,NA
"31","centroid.otu179",-1.73679595801252,0.0858953256342048,-0.0666908917283446,0.378428613863984,0.281383869996753,0.202376933880435,-0.380085911549464,0.0618340504503788,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Strophariaceae","g:Stropharia",NA
"32","centroid.otu186",-1.71502043389135,0.0430874478449131,-0.32236921889629,0.00699669366583297,0.0642115684081742,0.525772509193593,-0.117507597131714,0.0379934901770717,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pezizaceae",NA,NA
"33","centroid.otu21",-0.678946099100477,0.0625932357193171,0.116819069437239,-0.0990614595892833,-0.0902943824908543,-0.172490218044337,-0.301661011718872,0.0410385576929966,"d:Fungi",NA,NA,NA,NA,NA,NA
"34","centroid.otu211",-2.13428342125539,0.126549632219612,0.212247923968493,0.205778224940924,0.164943272109909,-0.179527628095174,0.211140728391342,0.0268179685630943,"d:Fungi",NA,NA,NA,NA,NA,NA
"35","centroid.otu212",-1.98677877831472,0.147276594311835,0.175833092762747,-0.126185222278063,-0.0735800831422116,-0.242640181931546,-0.150102780923152,0.0292462797892963,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","f:Clavicipitaceae","g:Metarhizium","s:Metarhizium_marquandii_SH1561418.08FU"
"36","centroid.otu222",-1.61183795448835,-0.0808442203033625,-0.0848443063245576,-0.311557717816717,-0.148217296405284,-0.314861939742791,-0.18387911559179,0.0171107574355153,"d:Fungi",NA,NA,NA,NA,NA,NA
"37","centroid.otu235",-1.57262279240815,-0.255148886084629,0.273117881495129,-0.0598091568605527,-0.262729922470305,-0.71808961380327,-0.656188382557854,0.0641881220617618,"d:Fungi","p:Ascomycota",NA,NA,NA,NA,NA
"38","centroid.otu260",-1.95467370863131,0.105555100929513,-0.0557426023949961,0.105301334624259,-0.198686481642996,-0.0364630551643859,-0.205669405795004,0.0201739775708361,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Eurotiales","f:Aspergillaceae","g:Penicillium",NA
"39","centroid.otu276",-1.95778771949499,-0.264046002646414,0.207477023233024,0.114394955733666,-0.438174647685496,-0.300952363373817,-0.28062418862452,0.0564885506414449,"d:Fungi",NA,NA,NA,NA,NA,NA
"40","centroid.otu298",-1.87399748598477,-0.160515326496862,-0.532966026709829,0.313916548084186,-0.130134345837415,-0.18113410682014,0.26428681798927,0.0419367084217637,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","f:Lasiosphaeriaceae","g:Schizothecium","s:Schizothecium_carpinicola_SH1615620.08FU"
"41","centroid.otu305",-1.88166669414679,-0.00534362345463052,0.106326377119284,0.100008335891544,-0.211715680350491,-0.317352615032962,-0.181832574952899,0.0664890603815368,"d:Fungi",NA,NA,NA,NA,NA,NA
"42","centroid.otu31",-1.06636112313365,0.0546906996461991,-0.06089361645786,-0.00517841545538443,-0.0232333254113492,0.0405456302197418,-0.152034363398642,0.00740146273687492,"d:Fungi",NA,NA,NA,NA,NA,NA
"43","centroid.otu319",-2.51352282401547,-0.0981048579549416,0.21389019142074,0.405405288347543,0.420848684608576,0.354285848981139,0.273174897468905,0.0579041632153861,"d:Fungi",NA,NA,NA,NA,NA,NA
"44","centroid.otu331",-1.78076728698644,-0.12753430937208,0.0122333645893546,-0.438975805570417,-0.059012699782701,-0.461807193308633,-0.361455438576125,0.0697762190936687,"d:Fungi",NA,NA,NA,NA,NA,NA
"45","centroid.otu337",-2.15549484776255,-0.111935741617705,-0.0243347567426684,0.286514262725012,-3.36933929922517,-0.278279751427735,-0.0676451468711032,0.0405558249719429,"d:Fungi","p:Ascomycota","c:Sordariomycetes",NA,NA,NA,NA
"46","centroid.otu347",-2.3897084079319,0.55236551491099,0.475608269550957,-0.204252053427945,0.595335430922902,0.0597182930192808,-0.247953458466776,0.048148766668108,"d:Fungi","p:Mortierellomycota","c:Mortierellomycetes","o:Mortierellales","f:Mortierellaceae","g:Mortierella",NA
"47","centroid.otu367",-2.32424246124026,-0.0157658102673348,0.180667524724608,-3.20237586689234,0.120463420491824,0.513840384227517,0.0377640354490102,0.0923920890253602,"d:Fungi",NA,NA,NA,NA,NA,NA
"48","centroid.otu375",-2.07398371249402,-0.341210067509144,-0.421383764639617,0.355283346550658,0.383775381736417,0.300526902796593,0.29957856526775,0.0359735129149801,"d:Fungi",NA,NA,NA,NA,NA,NA
"49","centroid.otu389",-5.53406408707627,-0.220525234106249,0.245664808063648,3.99792821915344,3.41213147699681,3.48653247179431,3.03203642788346,0.071484637093908,"d:Fungi",NA,NA,NA,NA,NA,NA
"50","centroid.otu39",-1.16245439848917,-0.00288282259377591,-0.217356298309954,-0.203776703134057,0.0339181955143413,0.209242169935481,-0.0456652639478293,0.032150508562138,"d:Fungi","p:Chytridiomycota","c:Rhizophlyctidomycetes","o:Rhizophlyctidales","f:Rhizophlyctidaceae","g:Rhizophlyctis","s:Rhizophlyctis_rosea_SH1514618.08FU"
"51","centroid.otu397",-2.19087203200635,-0.300463022718658,-0.311559831825857,0.182338862754954,0.170501895261973,0.0888639646085969,0.540007953244024,0.0446423589857201,"d:Fungi",NA,NA,NA,NA,NA,NA
"52","centroid.otu400",-1.76800770485253,-0.0429830501583068,0.499935665602215,-0.640225311458173,-0.262327186916942,-0.496604453141072,-0.376457127351849,0.170886852479903,"d:Fungi","p:Ascomycota","c:Sordariomycetes",NA,NA,NA,NA
"53","centroid.otu470",-6.23923793710757,0.392841367331695,0.428415648921018,4.03920970175402,3.89679982755639,4.3596868885472,-0.00883073210551134,0.0180033279542828,"d:Fungi","p:Mortierellomycota","c:Mortierellomycetes","o:Mortierellales","f:Mortierellaceae","g:Mortierella",NA
"54","centroid.otu493",-2.91510767958637,0.660088417895545,0.847127129929931,-0.0827020378755333,-3.74209170141947,0.34200699898903,-0.242528656139262,0.244572196413263,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales",NA,NA,NA
"55","centroid.otu517",-4.77398162415906,3.64666396935073,2.30751400403416,-1.10207563639818,-3.92122354762723,-4.12012388941052,-1.32122108876104,0.0131923593915088,"d:Fungi",NA,NA,NA,NA,NA,NA
"56","centroid.otu518",-2.29494849532808,1.06373637005166,0.941226634215095,-4.08657798729684,-4.02343028166785,-0.956597208880745,-0.321439117016107,0.0824892851180757,"d:Fungi",NA,NA,NA,NA,NA,NA
"57","centroid.otu523",-5.9108003125442,0.377987042705379,0.357651042983236,3.79403897389676,3.53552433023625,3.33348516276129,3.47742765872127,0.026803013724615,"d:Fungi",NA,NA,NA,NA,NA,NA
"58","centroid.otu575",-2.42152112532173,0.608847562177091,1.16251584025587,0.569934988557208,-0.458045836144702,-3.75266556671743,-3.73421386460875,0.0590578964839983,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","f:Cordycipitaceae","g:Beauveria","s:Beauveria_bassiana_SH2173961.08FU"
"59","centroid.otu63",-1.70862153279893,-0.0596795169031222,-0.0925078841033156,0.219015176136914,0.229334011435661,0.145102381886263,0.205362706600845,0.0132086040068464,"d:Fungi",NA,NA,NA,NA,NA,NA
"60","centroid.otu684",-2.05818734399178,-0.201803864325575,0.0297332143311516,1.0622059993917,NA,-4.21756676657671,NA,0.332982446397021,"d:Fungi",NA,NA,NA,NA,NA,NA
"61","centroid.otu705",-1.82072746455823,-0.657729043740204,-0.207726660844744,-4.74384984309058,NA,NA,-4.73880245619686,0.244504063156576,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Psathyrellaceae","g:Psathyrella","s:Psathyrella_kellermanii_SH1513518.08FU"
"62","centroid.otu740",-0.921033283096516,-2.85918474839252,NA,-5.19011002437873,NA,-5.10076050726333,-5.13054368172574,-0.214859191144675,"d:Fungi",NA,NA,NA,NA,NA,NA
"63","centroid.otu758",-2.43441301086425,0.0785684708115029,0.141171091619227,-4.42371469118295,-4.41441792317376,0.0934665083723607,-0.141675345255854,0.122851307424301,"d:Fungi",NA,NA,NA,NA,NA,NA
"64","centroid.otu8",-0.199922209113124,0.0376924889434777,-0.103309831373211,-0.220000580766734,-0.189789039259242,-0.149192840782786,-0.0217282709442563,0.0192603108870558,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","f:Chaetomiaceae","g:Humicola","s:Humicola_grisea_SH2475985.08FU"
"65","centroid.otu807",-2.07944150141093,-3.29593346684898,0.453586607436896,-4.09832042462379,NA,-3.9811479419117,NA,0.166696163712732,"d:Fungi",NA,NA,NA,NA,NA,NA
"66","centroid.otu835",-5.35895812997627,2.41515479724337,3.20288308192113,0.941717502582902,-2.79694758816922,-0.229483814125791,-2.92609788424215,0.0120582653943637,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Sarcosomataceae",NA,NA
